customer,date
0032j000001UaIdAAK,2020-11-06
0032j000002hwpFAAQ,2021-05-20
0032j0000077nwFAAQ,2020-12-18
0032j000001UU6aAAG,2020-11-20
0032j000001UFAIAA4,2021-02-18
0032j000002jQiqAAE,2021-01-26
0032j000001UFOFAA4,2021-01-19
0032j000002iXYTAA2,2020-11-27
0032j00000BHuRaAAL,2020-11-24
0032j000004dd1kAAA,2020-11-18
0032j000004dgnXAAQ,2020-12-01
0032j00000BIBr2AAH,2020-11-05
0032j000001UNFBAA4,2020-11-26
0030o000033ec2TAAQ,2020-11-16
0032j000004dyxzAAA,2020-11-19
0032j00000CIgLJAA1,2020-11-13
0032j000004eDVZAA2,2020-11-06
0032j000007mq6TAAQ,2020-11-11
0032j000004fp9aAAA,2020-11-24
0032j00000CJFICAA5,2020-11-20
0032j000007motjAAA,2020-11-16
0032j000002jCIiAAM,2020-12-04
0032j00000CmmLTAAZ,2020-12-04
0032j000008np7BAAQ,2020-11-09
0032j000008npETAAY,2020-11-25
0032j000002iB55AAE,2020-11-10
0032j000004ebSIAAY,2020-11-27
0032j00000CIvwXAAT,2020-11-18
0030o00002uzmeEAAQ,2020-11-25
0032j000002j7szAAA,2020-11-02
0032j000007mrXWAAY,2020-12-01
0032j00000CIeo3AAD,2020-11-17
0032j000007nv16AAA,2020-11-19
0032j000002jGClAAM,2020-11-22
0032j000004duPTAAY,2020-11-05
0032j000002j5DTAAY,2020-11-09
0032j000004dwPGAAY,2020-12-09
0032j0000062uvKAAQ,2020-12-08
0032j000002j3IXAAY,2020-12-25
0032j000007ntysAAA,2020-11-12
0032j000001UDP7AAO,2020-11-12
0032j000008lyQ1AAI,2020-11-26
0032j000008nlatAAA,2020-11-20
0032j000004e0FNAAY,2020-11-10
0032j000002j4SxAAI,2020-11-06
0032j000004ddPyAAI,2020-12-11
0032j000008mP8gAAE,2020-12-23
0032j000002gFhhAAE,2020-11-11
0032j00000Cme8kAAB,2020-11-30
0032j00000Cnlc3AAB,2020-12-16
0030o00002uzkdHAAQ,2020-11-12
0032j00000CIfGfAAL,2020-11-11
0032j000002jBccAAE,2020-11-27
0032j000001UEffAAG,2020-12-14
0032j000002jC6gAAE,2020-12-28
0032j000001UXZcAAO,2020-11-25
0032j000001UTulAAG,2020-12-17
0030o00002uzn3kAAA,2020-11-24
0032j000004e8rUAAQ,2020-11-04
0032j000007k6XnAAI,2020-11-30
0032j000004e0JrAAI,2020-12-17
0032j000001UF8bAAG,2020-11-11
0032j00000CJ7NaAAL,2020-12-25
0032j000001UFDbAAO,2020-12-15
0032j00000CJ0wzAAD,2020-12-10
0032j000004dgZKAAY,2020-11-16
0032j000004ddAqAAI,2020-11-02
0032j000002jBpGAAU,2020-11-16
0032j000002j3vlAAA,2020-11-11
0032j000002jGezAAE,2020-11-30
0032j00000BHKnZAAX,2020-11-06
0032j000001UfqmAAC,2020-12-15
0032j000004eAsrAAE,2020-12-03
0032j000001UE8YAAW,2020-12-11
0032j000001UUJnAAO,2020-12-23
0032j000001Tg7OAAS,2020-11-11
0032j000001UNbsAAG,2020-12-24
0032j00000BHl2tAAD,2020-11-30
0032j00000Cn2YBAAZ,2020-12-03
0032j000004dgZgAAI,2020-12-07
0032j000001UE7YAAW,2020-12-14
0032j000001VjcBAAS,2020-12-10
0032j000002gth1AAA,2020-12-21
0032j00000CnU09AAF,2020-12-10
0032j000006GLNfAAO,2020-12-24
0032j000002jAJ2AAM,2020-12-08
0032j000001UFiIAAW,2021-02-12
0032j000007lWYuAAM,2020-12-03
0032j00000BIGTdAAP,2020-11-30
0032j000004e1q2AAA,2020-11-24
0032j00000CId73AAD,2020-11-11
0030o00002uzlflAAA,2020-11-18
0032j000001UTEUAA4,2020-11-05
0032j000005s2TCAAY,2020-11-02
0032j00000CJZPnAAP,2020-11-26
0032j000007k5wOAAQ,2020-12-03
0032j000004e8WNAAY,2020-12-10
0032j00000CndKoAAJ,2020-12-11
0032j000002jC9VAAU,2020-11-06
0032j000001UWvgAAG,2020-11-20
0030o00002uzlDYAAY,2020-11-06
0032j000004dgG1AAI,2020-11-19
0032j00000CoWV7AAN,2020-12-25
0032j000002j1gAAAQ,2020-12-23
0030o00002pUraDAAS,2020-11-27
0032j00000CoMQtAAN,2020-12-24
0032j000007nWsjAAE,2020-11-19
0032j000001UTsxAAG,2020-11-11
0032j000004dvbMAAQ,2020-11-13
0032j000008lQqLAAU,2020-11-02
0032j0000062v71AAA,2020-12-16
0032j000002hK8HAAU,2020-11-13
0032j000008nJtqAAE,2020-12-03
0032j000001UXkqAAG,2020-12-08
0032j000001U9HyAAK,2020-12-21
0032j000004dglfAAA,2020-12-25
0032j000001UX4WAAW,2020-11-05
0032j000001UAQXAA4,2020-12-11
0032j000001U3sHAAS,2020-11-18
0032j000004e0bxAAA,2020-11-19
0032j000004fbqfAAA,2020-12-24
0032j000001UNc6AAG,2020-12-11
0032j000008lbzDAAQ,2020-12-02
0032j00000BI0u6AAD,2020-11-04
0032j00000CJTDjAAP,2020-11-25
0032j000007mrKpAAI,2020-11-06
0032j0000077VNBAA2,2020-12-15
0032j000002ggwJAAQ,2020-11-05
0032j0000064ZjOAAU,2020-11-17
0030o00002uzkrOAAQ,2020-12-04
0032j000008mJWRAA2,2020-12-14
0032j000007oAjOAAU,2020-11-05
0032j000004eCIpAAM,2020-12-02
0032j00000CJZsHAAX,2020-11-26
0030o00002uzn3fAAA,2020-11-25
0032j000002jDdeAAE,2020-11-18
0032j0000077pLBAAY,2020-12-16
0032j00000BI8GpAAL,2020-12-07
0032j000004e9I6AAI,2020-11-24
0032j000007k6BUAAY,2020-11-12
0032j000008nDKkAAM,2020-11-06
0032j00000Cmu58AAB,2020-12-02
0032j00000CnYGNAA3,2020-12-11
0032j00000Co2ErAAJ,2020-12-17
0032j00000CJb8hAAD,2020-11-26
0032j000002jCDGAA2,2020-12-27
0032j000001UMJiAAO,2020-12-25
0032j000004eD1AAAU,2020-11-25
0032j00000BHQSLAA5,2020-11-30
0032j000002j5DVAAY,2020-11-02
0032j0000077nuRAAQ,2020-12-19
0032j000004g3MLAAY,2020-12-09
0032j000008noCwAAI,2020-12-07
0032j00000BHlnjAAD,2020-12-16
0032j00000CId7AAAT,2020-11-11
0032j000004dfpjAAA,2020-12-25
0032j00000CoOcFAAV,2020-12-23
0032j0000063hEUAAY,2020-11-13
0032j00000BHrsIAAT,2020-11-17
0032j000001UTtHAAW,2020-11-06
0032j00000CIbWSAA1,2020-11-16
0032j000004dgaMAAQ,2020-12-01
0030o00002nkSnfAAE,2020-11-25
0032j000002j683AAA,2020-11-09
0030o00002yu4d8AAA,2020-11-20
0032j00000CJgWTAA1,2020-11-30
0032j000008my4HAAQ,2020-12-24
0032j00000CJiK3AAL,2020-12-14
0030o00002nkSoKAAU,2020-12-09
0032j00000Co6yPAAR,2020-12-18
0032j000002j8a0AAA,2020-12-14
0032j000002j7GzAAI,2020-11-05
0032j000001UTbBAAW,2020-12-01
0030o00002uzmFvAAI,2020-12-02
0032j00000CnT8JAAV,2020-12-15
0032j00000CnvjMAAR,2020-12-24
0032j000001UMVJAA4,2020-11-17
0032j000002gKepAAE,2020-11-17
0032j000008mxeVAAQ,2020-11-10
0032j000004dT4BAAU,2020-12-08
0032j000004eCcgAAE,2020-12-22
0032j000001UTlcAAG,2020-11-12
0032j000008nHKLAA2,2020-11-12
0032j00000CJZFGAA5,2020-11-25
0032j000001UXXVAA4,2020-12-08
0030o00002uzkSdAAI,2020-12-16
0032j000005sqDKAAY,2020-12-02
0032j000004duj8AAA,2020-12-02
0032j000004ddJKAAY,2020-11-20
0032j000001UFMGAA4,2020-12-04
0032j000001UFabAAG,2020-12-01
0030o000036D2vLAAS,2020-11-18
0032j00000CmkD7AAJ,2020-12-01
0032j00000CmsnXAAR,2020-12-01
0032j00000CIfGgAAL,2020-11-26
0032j000007nupOAAQ,2020-12-07
0030o00002uzltqAAA,2020-12-24
0032j00000BICccAAH,2020-11-06
0032j00000BHQpfAAH,2020-12-11
0032j000001UTuIAAW,2020-12-16
0032j0000077ncNAAQ,2020-12-03
0032j00000Cme8oAAB,2020-12-04
0032j000008nsG3AAI,2020-12-28
0030o00002ytBLTAA2,2020-12-11
0032j000001UFmQAAW,2020-11-04
0032j000004dv5uAAA,2020-11-24
0032j000004dxXDAAY,2020-12-14
0032j000002j6mJAAQ,2020-11-13
0032j000007nBYOAA2,2020-11-30
0032j000001UEfmAAG,2020-11-19
0030o00002uzlWUAAY,2020-11-24
0032j00000CoNjkAAF,2020-12-22
0032j000007oAZ3AAM,2020-12-09
0032j000004dUe3AAE,2020-11-20
0032j000008nsE5AAI,2020-11-10
0032j000002gqFjAAI,2020-11-03
0032j00000CJ6qNAAT,2020-12-07
0032j000004dgnZAAQ,2020-11-10
0032j000001UV3OAAW,2020-11-24
0032j000004esu7AAA,2020-12-11
0032j000001UFH1AAO,2020-11-09
0032j000004dv6tAAA,2020-11-11
0032j000001UOKdAAO,2020-11-09
0032j000002jARgAAM,2020-11-05
0032j000007nVPWAA2,2020-11-06
0032j000002j65DAAQ,2020-11-19
0032j000007mdHqAAI,2020-11-27
0032j0000063hT3AAI,2020-12-25
0032j000002izZzAAI,2020-11-12
0032j00000CnJlMAAV,2020-12-11
0030o00002uzmN2AAI,2020-12-08
0032j00000CnHreAAF,2020-12-10
0032j000001UEI3AAO,2020-11-24
0032j000002j5gSAAQ,2020-12-24
0032j000004e1RXAAY,2020-11-14
0032j00000CnCuDAAV,2020-12-14
0032j000004dfjoAAA,2020-12-24
0032j00000CnVbTAAV,2020-12-12
0032j000004dXWxAAM,2020-12-15
0032j000004dcIXAAY,2020-11-12
0032j000008lbcmAAA,2020-11-04
0032j00000CJBHqAAP,2020-12-18
0032j000008m7RiAAI,2020-11-20
0032j000001UT4xAAG,2020-11-09
0032j00000CIvALAA1,2020-11-24
0032j000001UFMmAAO,2020-11-19
0032j000004dUe8AAE,2020-12-14
0032j000007mqoLAAQ,2020-11-05
0032j00000CJFjEAAX,2020-11-26
0032j00000CJ7KWAA1,2020-12-07
0032j000008nHOJAA2,2020-11-12
0032j00000BHjSBAA1,2020-11-05
0032j000008neWvAAI,2021-01-06
0032j000007oYWRAA2,2020-12-04
0032j000001UX7nAAG,2020-11-05
0032j000004dfYVAAY,2020-12-24
0032j00000CmnWjAAJ,2020-12-02
0030o00002uzlyOAAQ,2020-11-27
0032j000001UDfFAAW,2020-11-02
0032j000002jAbLAAU,2020-11-17
0032j00000CJGwCAAX,2020-11-24
0030o00002uzj87AAA,2020-11-02
0032j000002jMPpAAM,2020-12-17
0032j00000BIEsvAAH,2020-11-13
0030o00002uzkqZAAQ,2020-12-22
0032j000002gKzFAAU,2021-02-25
0032j000008mfs1AAA,2020-11-12
0032j000004eAR7AAM,2020-12-15
0032j000001U9dQAAS,2020-11-30
0032j000001ULWVAA4,2020-12-23
0030o00002uzjtjAAA,2020-11-12
0032j000004deDBAAY,2020-11-25
0032j00000CIzE5AAL,2020-11-17
0032j000002j35TAAQ,2020-12-08
0032j000007LQ0OAAW,2020-12-19
0032j000004dfkGAAQ,2020-12-04
0032j000001TlRbAAK,2020-12-02
0032j000004eCH3AAM,2020-11-09
0032j000001UEUpAAO,2020-11-12
0032j000001UFXmAAO,2020-11-20
0032j000007nSa1AAE,2020-11-12
0032j00000CnNUTAA3,2020-12-17
0032j000007mqBlAAI,2020-12-11
0032j000002j7NuAAI,2020-11-17
0032j00000BI56fAAD,2020-11-04
0032j00000Cmyc9AAB,2020-12-07
0032j000002jBdwAAE,2020-12-22
0032j000002j77BAAQ,2020-11-16
0032j000004dg9PAAQ,2020-12-09
